,Title,Authors,Categories,Keywords,Description,Type of (possible) format,,,,,,,,,
140,A systematic review of service models and evidence relating to the clinically operated community-based residential mental health rehabilitation for adults with severe and persisting mental illness in Australia,"['Stephen Parker', '', '', '', '', 'Stephen Parker', '', '', '', '', 'Stephen Parker', '', '', '', '', 'Stephen Parker', '', '', '', '', 'Stephen Parker', '', '', '', '']","['Medicine', 'Cell Biology', 'Pharmacology', 'Sociology', 'Mental Health']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",No description found,.trr,,,,,,,,,
141,AhpF Can Be Dissected into Two Functional Units:  Tandem Repeats of Two Thioredoxin-like Folds in the N-Terminus Mediate Electron Transfer from the Thioredoxin Reductase-like C-Terminus to AhpC<sup>†</sup>,"['Leslie B. Poole', '', '', '']","['Biophysics', 'Biochemistry', 'Microbiology', 'Molecular Biology', 'Chemical Sciences not elsewhere classified', 'Virology']","['', '', '', '', '', '']",No description found,.trr,,,,,,,,,
142,Comparison of pathologic response assessment systems after neoadjuvant chemotherapy for different subtypes of breast cancer.,"['by Hee Jin Lee In Ah Park In Hye Song Sung-Bae Kim Kyung Hae Jung Jin-Hee Ahn Sei-Hyun Ahn Hak Hee Kim Gyungyub Gong', 'Hee Jin Lee', 'Hee Jin Lee', 'In Ah Park', 'In Ah Park', 'In Hye Song', 'In Hye Song', 'Sung-Bae Kim', 'Sung-Bae Kim', 'Kyung Hae Jung', 'Kyung Hae Jung', 'Jin-Hee Ahn', 'Jin-Hee Ahn', 'Sei-Hyun Ahn', 'Sei-Hyun Ahn', 'Hak Hee Kim', 'Hak Hee Kim', 'Gyungyub Gong', 'Gyungyub Gong']",['Uncategorised'],"['nac', 'survival', 'response assessment results', 'Breast Cancers PurposeSeveral methods', 'assessment methods', 'breast cancer', 'hr', 'prognostic significance', 'assessment systems', 'RDBN', 'Pathologic Response Evaluation Systems', 'response assessment systems', 'tumor', 'her', 'ypTNM stage', 'breast cancer patients', 'rcb']","RCB, residual cancer burden; RDBN, residual disease in breast and node; TRR, tumor response ratio.",.trr,,,,,,,,,
143,WHO_2016_DATASET.xlsx,"['by Caio Torres', 'Caio Torres']","['https://www.who.int/violence_injury_prevention/road_safety_status/2018/en/', 'Public Health and Health Services not elsewhere classified']","['road safety measures', 'world Health Organization Global Estimates']",Dataser used in TRR paper: Analyzing the Relationship Between Road Safety Pillars and the WHO Member States Mortality Rate Using Structural Equation Modeling Approach,.trr,,,,,,,,,
144,Evolutionary Change within a Bipotential Switch Shaped the Sperm/Oocyte Decision in Hermaphroditic Nematodes,"['by Yiqing Guo Xiangmei Chen Ronald E. Ellis', 'Yiqing Guo', 'Yiqing Guo', 'Xiangmei Chen', 'Xiangmei Chen', 'Ronald E. Ellis', 'Ronald E. Ellis']",['Biological Sciences'],"['bipotential', 'shaped', 'hermaphroditic']","A subset of transcription factors like Gli2 and Oct1 are bipotential — they can activate or repress the same target, in response to changing signals from upstream genes. Some previous studies implied that the sex-determination protein TRA-1 might also be bipotential; here we confirm this hypothesis by identifying a co-factor, and use it to explore how the structure of a bipotential switch changes during evolution. First, null mutants reveal that C. briggsae TRR-1 is required for spermatogenesis, RNA interference implies that it works as part of the Tip60 Histone Acetyl Transferase complex, and RT-PCR data show that it promotes the expression of Cbr-fog-3, a gene needed for spermatogenesis. Second, epistasis tests reveal that TRR-1 works through TRA-1, both to activate Cbr-fog-3 and to control the sperm/oocyte decision. Since previous studies showed that TRA-1 can repress fog-3 as well, these observations demonstrate that it is bipotential. Third, TRR-1 also regulates the development of the male tail. Since Cbr-tra-2 Cbr-trr-1 double mutants resemble Cbr-tra-1 null mutants, these two regulatory branches control all tra-1 activity. Fourth, striking differences in the relationship between these two branches of the switch have arisen during recent evolution. C. briggsae trr-1 null mutants prevent hermaphrodite spermatogenesis, but not Cbr-fem null mutants, which disrupt the other half of the switch. On the other hand, C. elegans fem null mutants prevent spermatogenesis, but not Cel-trr-1 mutants. However, synthetic interactions confirm that both halves of the switch exist in each species. Thus, the relationship between the two halves of a bipotential switch can shift rapidly during evolution, so that the same phenotype is produce by alternative, complementary mechanisms.",.trr,,,,,,,,,
145,"MD simulation trajectory and related files for POPC bilayer (Lipid14, Gromacs 4.5)","['by Ollila O. H. Samuli Retegan, Marius', 'Ollila O. H. Samuli', 'Ollila O. H. Samuli', 'Retegan, Marius', 'Retegan, Marius']",['Uncategorized'],['zenodo'],"Equilibrated POPC lipid bilayer simulation ran with Gromacs 4.5, Lipid14 force field (http://dx.doi.org/10.1021/ct4010307), 50ns, T=303K, 72 POPC molecules, 2234 water molecules. This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi. If data is used, please cite nmrlipids.blogspot.fi project.",.trr,,,,,,,,,
146,"MD simulation trajectory and related files for DPPC bilayer (GAFFlipid, Gromacs 4.5)","['by Ollila Samuli Retegan, Marius', 'Ollila Samuli', 'Ollila Samuli', 'Retegan, Marius', 'Retegan, Marius']",['Uncategorized'],['zenodo'],"Equilibrated DPPC lipid bilayer simulation ran with Gromacs 4.5, GAFFlipid force field (http://dx.doi.org/10.1039/C2SM26007G), 50ns, T=323K, 72 DPPC molecules, 2197 water molecules. This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi. If data is used, please cite nmrlipids.blogspot.fi project and the original publication of the parameters: Dickson et al. Soft Matter, 2012,8, 9617-9627 http://dx.doi.org/10.1039/C2SM26007G.",.trr,,,,,,,,,
147,"MD simulation trajectory and related files for POPC bilayer with 30 mol% of protonated pazePC (Berger, Gromacs 4.5.)","['by Ollila, Samuli', 'Ollila, Samuli', 'Ollila, Samuli']",['Uncategorized'],['zenodo'],"Simulation trajectory and related files for POPC bilayer with 30mol% of pazePC in deprotonated form used in ""Acyl chain disorder and azelaoyl orientation in lipid membranes containing oxidised lipids"" by T. M. Ferreira, et al., to be submitted.

The simulation with deprotonated pazePC from the same publication available at http://dx.doi.org/10.5281/zenodo.44622
90 POPC, 38 pazePC, 7250 water and 38 potassium molecules. Simulation time 120ns.
  Force field for POPC is based on Berger model and force field for pazePC is modified from H. Khandelia and O. G. Mouritsen, Biophysical Journal, 2009, 96(7), 2734 – 2743, http://dx.doi.org/10.1016/j.bpj.2009.01.007.",.trr,,,,,,,,,
148,Molecular basis for the increased affinity of an RNA recognition motif with re-engineered specificity: A molecular dynamics and enhanced sampling simulations study- PART 1,"['by Bochicchio, Anna Krepl, Miroslav Yang, Fan Varani, Gabriele Sponer, Jiri Carloni, Paolo', 'Bochicchio, Anna', 'Bochicchio, Anna', 'Krepl, Miroslav', 'Krepl, Miroslav', 'Yang, Fan', 'Yang, Fan', 'Varani, Gabriele', 'Varani, Gabriele', 'Sponer, Jiri', 'Sponer, Jiri', 'Carloni, Paolo', 'Carloni, Paolo']","['Biophysics', 'Biochemistry', 'Space Science', 'Molecular Biology', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Cancer', 'Computational Biology']","['RNA recognition motif', 'sampling simulations study', 'dynamic', 'nbsp', 'specificity', 'PART 1 Simulations', 'affinity', 'Molecular basis', 'Rbfox protein']","Simulations of the Rbfox protein.
 ",.trr,,,,,,,,,
149,"POPC/Cholesterol (70:30) lipid membrane, 303K, Charmm36 force field, simulation files and 200 ns trajectory for Gromacs MD simulation engine v5.1.2","['by Melcr, Josef', 'Melcr, Josef', 'Melcr, Josef']","['Biophysics', 'Biochemistry', 'Physical Sciences not elsewhere classified', 'Physiology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Marine Biology', 'Cancer', 'Computational Biology']","['POPC', 'JCTC', 'AMBER', 'Charmm 36 force field', 'simulation files', '200 ns trajectory', 'NAMD', 'Gromacs MD simulation engine v 5.1.2', 'Gromacs 5.1.2\xa0 software package', 'CHARMM 36 additive force field parameters', 'DOI', '303 K', 'GROMACS', 'nmrlipids.blospot.fi project', 'CHARMM-GUI Membrane Builder v 1.7', 'http']","The starting structure was obtained from CHARMM-GUI Membrane Builder v1.7 (http://www.charmm-gui.org/) online tool. [1]
All runs were performed with Gromacs 5.1.2 software package and CHARMM36 additive force field parameters obtained from CHARMM-GUI input files [1]. Conditions: T=303, 128 POPC molecules, 5120 tip3p waters, 200ns trajectory (preceded with equilibration)
These data were originally obtained for the nmrlipids.blospot.fi project.
Find more details at nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi
[1] CHARMM-GUI Input Generator for NAMD, GROMACS, AMBER, OpenMM, and CHARMM/OpenMM Simulations Using the CHARMM36 Additive Force Field,  J. Lee et al., JCTC, DOI: 10.1021/acs.jctc.5b00935",.trr,,,,,,,,,
150,"C36 POPC simulation with 17 lipids per leaflet, 300K","['by Hanne Antila', 'Hanne Antila', 'Hanne Antila']","['Biophysics', 'Space Science', 'Physical Sciences not elsewhere classified', 'Medicine', 'Genetics', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Mathematical Sciences not elsewhere classified', 'Computational Biology']","['leaflet', '300 K', '300 K POPC bilayer', '30 waters', '17 lipids', 'gromac', 'C 36 POPC simulation']","POPC bilayer with 30 waters per lipid (17+17), at 300K, simulation using gromacs",.trr,,,,,,,,,
151,DOPE in water (500 ns) run1,"['by O. Schullian', 'O. Schullian', 'O. Schullian']","['Biophysics', 'Biochemistry', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Sociology', 'Immunology', 'Cancer', 'Computational Biology']","['lipid', 'DOPE', '3P', '50 ps', 'gromac']","DOPE (128 lipids) in water (TIP3P, 4608).
500 ns, output every 50 ps.
Run with gromacs/5.1.2",.trr,,,,,,,,,
152,Kappa values for the different pathologic response assessment systems after systemic neoadjuvant therapy.,"['by Hee Jin Lee In Ah Park In Hye Song Sung-Bae Kim Kyung Hae Jung Jin-Hee Ahn Sei-Hyun Ahn Hak Hee Kim Gyungyub Gong', 'Hee Jin Lee', 'Hee Jin Lee', 'In Ah Park', 'In Ah Park', 'In Hye Song', 'In Hye Song', 'Sung-Bae Kim', 'Sung-Bae Kim', 'Kyung Hae Jung', 'Kyung Hae Jung', 'Jin-Hee Ahn', 'Jin-Hee Ahn', 'Sei-Hyun Ahn', 'Sei-Hyun Ahn', 'Hak Hee Kim', 'Hak Hee Kim', 'Gyungyub Gong', 'Gyungyub Gong']",['Uncategorised'],"['nac', 'survival', 'response assessment results', 'Breast Cancers PurposeSeveral methods', 'assessment methods', 'breast cancer', 'hr', 'prognostic significance', 'assessment systems', 'RDBN', 'Pathologic Response Evaluation Systems', 'response assessment systems', 'tumor', 'her', 'ypTNM stage', 'breast cancer patients', 'rcb']","RCB, residual cancer burden; RDBN, residual disease in breast and node; TRR, tumor response ratio.",.trr,,,,,,,,,
153,Model for how TRR-1 regulates sexual development.,"['by Yiqing Guo Xiangmei Chen Ronald E. Ellis', 'Yiqing Guo', 'Yiqing Guo', 'Xiangmei Chen', 'Xiangmei Chen', 'Ronald E. Ellis', 'Ronald E. Ellis']",['Biological Sciences'],"['trr-1', 'regulates']","A. Proposed regulatory cascade for the specification of sexual fates in germ cells. Proteins promoting oogenesis are magenta, and those promoting spermatogenesis are blue. Arrows denote positive interactions or transformations, and lines with bars indicate negative interactions. Dotted lines mark import into the nucleus. B. Model for the convergent origin of self-fertility. In the ancestral species, the fog-3 gene is inactive in XX larvae because TRA-1 repressing activity outweighs its activating activity. In C. elegans, fog-3 is expressed because increased FEM activity lowers the amount of TRA-1 repressor in the larval germ line. By contrast, in C. briggsae, fog-3 is expressed because of an increase in TRA-1 activating function. C–H. Models for how mutations in C. briggsae and C. elegans affect the expression of fog-3 in larval hermaphrodites. The key factors are that the expression of fog-3 is determined by a competition between TRA-1 activating and repressing activities, that in the complete absence of TRA-1, fog-3 will be transcribed, and that in C. elegans either maternal TRR-1 activity, or an unknown chromatin regulator, allows for spermatogenesis in trr-1 mutants. C. Cbr-trr-1(0). D. Cel-trr-1(0). E. Cbr-fem-3(0). F. Cel-fem-3(0). G. Cbr-tra-1(0). H. Cel-tra-1(0).",.trr,,,,,,,,,
154,"Kaplan-Meier survival curves for ypTNM stage, RCB, RDBN, TRR, Sataloff's T classification, and Miller-Payne grade showing disease-free survival rates for patients with triple negative breast cancer treated with anthracycline with/without taxane-based neoadjuvant chemotherapy.","['by Hee Jin Lee In Ah Park In Hye Song Sung-Bae Kim Kyung Hae Jung Jin-Hee Ahn Sei-Hyun Ahn Hak Hee Kim Gyungyub Gong', 'Hee Jin Lee', 'Hee Jin Lee', 'In Ah Park', 'In Ah Park', 'In Hye Song', 'In Hye Song', 'Sung-Bae Kim', 'Sung-Bae Kim', 'Kyung Hae Jung', 'Kyung Hae Jung', 'Jin-Hee Ahn', 'Jin-Hee Ahn', 'Sei-Hyun Ahn', 'Sei-Hyun Ahn', 'Hak Hee Kim', 'Hak Hee Kim', 'Gyungyub Gong', 'Gyungyub Gong']",['Uncategorised'],"['nac', 'survival', 'response assessment results', 'Breast Cancers PurposeSeveral methods', 'assessment methods', 'breast cancer', 'hr', 'prognostic significance', 'assessment systems', 'RDBN', 'Pathologic Response Evaluation Systems', 'response assessment systems', 'tumor', 'her', 'ypTNM stage', 'breast cancer patients', 'rcb']","All the pathologic response evaluation systems yield distinct Kaplan-Meier survival curves and have prognostic significance. (RCB, residual cancer burden; RDBN, residual disease in breast and node; TRR, tumor response ratio).",.trr,,,,,,,,,
155,Functional convergence of histone methyltransferases EHMT1 and KMT2C involved in intellectual disability and autism spectrum disorder,"['by Tom S. Koemans Tjitske Kleefstra Melissa C. Chubak Max H. Stone Margot R. F. Reijnders Sonja de Munnik Marjolein H. Willemsen Michaela Fenckova Connie T. R. M. Stumpel Levinus A. Bok Margarita Sifuentes Saenz Kyna A. Byerly Linda B. Baughn Alexander P. A. Stegmann Rolph Pfundt Huiqing Zhou Hans van Bokhoven Annette Schenck Jamie M. Kramer', 'Tom S. Koemans', 'Tom S. Koemans', 'Tjitske Kleefstra', 'Tjitske Kleefstra', 'Melissa C. Chubak', 'Melissa C. Chubak', 'Max H. Stone', 'Max H. Stone', 'Margot R. F. Reijnders', 'Margot R. F. Reijnders', 'Sonja de Munnik', 'Sonja de Munnik', 'Marjolein H. Willemsen', 'Marjolein H. Willemsen', 'Michaela Fenckova', 'Michaela Fenckova', 'Connie T. R. M. Stumpel', 'Connie T. R. M. Stumpel', 'Levinus A. Bok', 'Levinus A. Bok', 'Margarita Sifuentes Saenz', 'Margarita Sifuentes Saenz', 'Kyna A. Byerly', 'Kyna A. Byerly', 'Linda B. Baughn', 'Linda B. Baughn', 'Alexander P. A. Stegmann', 'Alexander P. A. Stegmann', 'Rolph Pfundt', 'Rolph Pfundt', 'Huiqing Zhou', 'Huiqing Zhou', 'Hans van Bokhoven', 'Hans van Bokhoven', 'Annette Schenck', 'Annette Schenck', 'Jamie M. Kramer', 'Jamie M. Kramer']","['Biochemistry', 'Medicine', 'Genetics', 'Molecular Biology', 'Neuroscience', 'Biological Sciences not elsewhere classified']","['G 9a', 'Drosophila KMT 2C ortholog', 'SMARCB', '3371 binding sites', 'histone methyltransferases EHMT 1', 'Kleefstra syndrome', 'gene ontology enrichments', '1I', 'KMT 2C phenotypic spectrum', 'histone methyltransferase KMT 2C', 'ASD', 'NR', 'EHMT protein families', 'EHMT 1 mutations', 'convergence', 'gene sets show', 'Drosophila EHMT 1 ortholog', 'MBD', 'KMT 2C', 'autism spectrum disorder Kleefstra syndrome', 'euchromatin histone methyltransferase 1', 'pan-neuronal trr knockdown', 'G 9a trr', 'ID', '1123 misregulated genes']","Kleefstra syndrome, caused by haploinsufficiency of euchromatin histone methyltransferase 1 (EHMT1), is characterized by intellectual disability (ID), autism spectrum disorder (ASD), characteristic facial dysmorphisms, and other variable clinical features. In addition to EHMT1 mutations, de novo variants were reported in four additional genes (MBD5, SMARCB1, NR1I3, and KMT2C), in single individuals with clinical characteristics overlapping Kleefstra syndrome. Here, we present a novel cohort of five patients with de novo loss of function mutations affecting the histone methyltransferase KMT2C. Our clinical data delineates the KMT2C phenotypic spectrum and reinforces the phenotypic overlap with Kleefstra syndrome and other related ID disorders. To elucidate the common molecular basis of the neuropathology associated with mutations in KMT2C and EHMT1, we characterized the role of the Drosophila KMT2C ortholog, trithorax related (trr), in the nervous system. Similar to the Drosophila EHMT1 ortholog, G9a, trr is required in the mushroom body for short term memory. Trr ChIP-seq identified 3371 binding sites, mainly in the promoter of genes involved in neuronal processes. Transcriptional profiling of pan-neuronal trr knockdown and G9a null mutant fly heads identified 613 and 1123 misregulated genes, respectively. These gene sets show a significant overlap and are associated with nearly identical gene ontology enrichments. The majority of the observed biological convergence is derived from predicted indirect target genes. However, trr and G9a also have common direct targets, including the Drosophila ortholog of Arc (Arc1), a key regulator of synaptic plasticity. Our data highlight the clinical and molecular convergence between the KMT2 and EHMT protein families, which may contribute to a molecular network underlying a larger group of ID/ASD-related disorders.",.trr,,,,,,,,,
156,BBS1 protein interacts with the LRb and regulates its trafficking to the cells surface.,"['by Deng-Fu Guo Huxing Cui Qihong Zhang Donald A. Morgan Daniel R. Thedens Darryl Nishimura Justin L. Grobe Val C. Sheffield Kamal Rahmouni', 'Deng-Fu Guo', 'Deng-Fu Guo', 'Huxing Cui', 'Huxing Cui', 'Qihong Zhang', 'Qihong Zhang', 'Donald A. Morgan', 'Donald A. Morgan', 'Daniel R. Thedens', 'Daniel R. Thedens', 'Darryl Nishimura', 'Darryl Nishimura', 'Justin L. Grobe', 'Justin L. Grobe', 'Val C. Sheffield', 'Val C. Sheffield', 'Kamal Rahmouni', 'Kamal Rahmouni']","['Biochemistry', 'Cell Biology', 'Genetics', 'Molecular Biology', 'Physiology', 'Environmental Sciences not elsewhere classified', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Developmental Biology', 'Hematology', 'Computational Biology']","['Bbs 1 gene', 'IFT', 'Ift 88 gene', 'system causes obesity', 'pleiotropic autosomal recessive disorder', 'BBSome Controls Energy Homeostasis', 'BBS proteins', 'BBS 1 loss']","(A) Interaction between the BBS1 protein and the endogenous LRb in brain lysate. Ability of Flag-tagged BBS1 and LRb to pull down each other by co-immunoprecipitation assays using brain lysates of transgenic (Tg) mice expressing a Flag-BBS1 protein. IP: immunoprecipitation, IB: immunoblot (representative of n = 3, 1 male and 2 females). (B–C) shRNA-mediated silencing of BBS1 reduces the surface levels of Flag-tagged LRb in a dose-dependent manner in HEK 293 cells transiently co-transfected with Flag-LRb and Bbs1-shRNA plasmids. This effect is specific as the surface expression of HA-tagged LRa (in separate experiments) and endogenous transferrin receptor (TrR, in same experiments as the Flag-LRb) were not altered (n = 6 per group). (D-E) Silencing of BBS2, another BBSome protein, lowers the surface levels of Flag-LRb, but not HA-LRa or endogenous TrR in HEK 293 cells (n = 6 per group). (F–G) Blockade of Rab8a using a dominant negative (DN) form decreases the surface expression of Flag-LRb, HA-LRa and endogenous TrR in HEK 293 cells (n = 6 per group). (H–I) siRNA-mediated silencing of Ift88 had no effect on the surface expression of Flag-LRb or endogenous TrR in HEK 293 cells (n = 8 per group). Data are means ± SEM, *P< 0.05 vs. control group.",.trr,,,,,,,,,
157,TRR-1 acts through TRA-1 to promote spermatogenesis and fog-3 expression.,"['by Yiqing Guo Xiangmei Chen Ronald E. Ellis', 'Yiqing Guo', 'Yiqing Guo', 'Xiangmei Chen', 'Xiangmei Chen', 'Ronald E. Ellis', 'Ronald E. Ellis']",['Biological Sciences'],"['acts', 'tra-1', 'spermatogenesis']","A–D. The null allele tra-1(nm2) is epistatic to mutations in trr-1. Animals in A were produced by trr-1(v76) mothers, except for the cby-15; tra-1 control at the bottom. Those in B and C were produced by self-fertilization from heterozygous mothers. Blue colored bars indicate spermatogenesis, pink bars indicate oogenesis, and mixed colors represent animals that make both sperm and oocytes. Abnormal germ lines are gray. E. Western blot showing that the levels of TRA-1100 are not altered in a trr-1 mutant. The absence of TRA-1100 in a tra-1(v56) mutant served as a negative control. (Full-length TRA-1 at the top is obscured by a non-specific band, marked by a star). F. RT-PCR analyses of hand-picked worms. Each age and genotype was run with independent samples, which are presented side-by-side.",.trr,,,,,,,,,
158,Survey on Understanding Experiments and Research Practices for Reproducibility: Material and Results,"['by Sheeba Samuel Birgitta König-Ries', 'Sheeba Samuel', 'Birgitta König-Ries', 'Birgitta König-Ries']","['Applied Computer Science', 'History and Philosophy of Science (incl. Non-historical Philosophy of Science)', 'Information Systems']","['Reproducibility', 'FAIR Principles', 'Reproducibility Crisis', 'research practices', 'Scientific Experiments']","This dataset contains the results from the survey 'Understanding Experiments and Research Practices for Reproducibility' conducted in the context of DFG CRC/TRR ReceptorLight. This survey was conducted as part of the dissertation of Sheeba Samuel. The purpose of this study was to gain a better understanding of what is needed to achieve reproducibility of experiments in science. The online survey consisted of 26 questions grouped in 6 sections. The six sections are: (1) Privacy policy, (2) Research context of the participant, (3) Reproducibility, (4) Measures to ensure reproducibility, (5) Important factors to understand a scientific experiment to enable reproducibility and (6) Experiment Workflow/Research Practices. The survey was completely anonymous. The survey was made available online on 24th January 2019. Out of 150 respondents, 101 responses were considered eligible for the analysis of the results. This dataset contains the survey questionnaire with the results. The results contain the raw and processed data along with the graphs for each question.",.trr,,,,,,,,,
159,Reaction times.,"['by Lea Donata Priester Daniel Wiswede', 'Lea Donata Priester', 'Lea Donata Priester', 'Daniel Wiswede', 'Daniel Wiswede']","['Biological Sciences not elsewhere classified', 'Science Policy', 'Mental Health']","['event files', 'event-related potentials', 'distractor repetition', 'N 2 amplitudes', 'stimulus-response episodes', 'reaction times', 'response-related information', 'adaptive mechanism', 'ERP correlates', 'electrophysiological underpinnings', 'increase efficiency', 'response features', 'distractor-based retrieval']","RTs separated by TARGET (TRR = Target Response Repetition, TRC = Target Response Change) and DISTRACTOR (DC = Distractor Change, DR = Distractor Repetition). Error bars indicate +/- 1 SE.",.trr,,,,,,,,,
160,Monolayer LAMMPS Trajectory,"['by Amrita Goswami Rohit Goswami', 'Amrita Goswami', 'Rohit Goswami']","['https://dseams.info/', 'https://docs.dseams.info/', 'https://github.com/d-SEAMS/seams-core', 'https://arxiv.org/abs/1909.09830', 'Molecular Physics', 'Computational Physics', 'Computational Chemistry', 'Theoretical and Computational Chemistry not elsewhere classified']","['lammps', 'd-SEAMS', 'traj']",This is the trajectory file meant to work with the monolayer example folder of d-SEAMS. Check Github to navigate the source code in the browser. The filename needs to be preserved to run without any changes.,.lammpstrj,,,,,,,,,
161,Nucleation LAMMPS Trajectory,"['by Rohit Goswami Amrita Goswami', 'Rohit Goswami', 'Amrita Goswami']","['https://dseams.info/', 'https://docs.dseams.info/', 'https://github.com/d-SEAMS/seams-core', 'https://arxiv.org/abs/1909.09830', 'Molecular Physics', 'Computational Chemistry', 'Computational Physics', 'Theoretical and Computational Chemistry not elsewhere classified', 'Thermodynamics', 'Thermodynamics and Statistical Physics']","['lammps', 'traj', 'd-SEAMS']",This is the trajectory file meant to work with the bulkTogologicalCriterion example folder of d-SEAMS. Check Github to navigate the source code in the browser.The filename needs to be preserved to run without any changes.,.lammpstrj,,,,,,,,,
162,CHILL+ LAMMPS Trajectory,"['by Rohit Goswami Amrita Goswami', 'Rohit Goswami', 'Amrita Goswami']","['https://dseams.info/', 'https://docs.dseams.info/', 'https://github.com/d-SEAMS/seams-core', 'https://arxiv.org/abs/1909.09830', 'Molecular Physics', 'Computational Chemistry', 'Computational Physics', 'Theoretical and Computational Chemistry not elsewhere classified']","['lammps', 'd-SEAMS', 'traj']",This is the trajectory file meant to work with the chillPlus example folder of d-SEAMS. Check Github to navigate the source code in the browser. The filename needs to be preserved to run without any changes.,.lammpstrj,,,,,,,,,
163,In plane (2D) RDF LAMMPS Trajectory,"['by Amrita Goswami Rohit Goswami', 'Amrita Goswami', 'Rohit Goswami']","['https://dseams.info/', 'https://docs.dseams.info/', 'https://github.com/d-SEAMS/seams-core', 'https://arxiv.org/abs/1909.09830', 'Molecular Physics', 'Computational Chemistry', 'Computational Physics', 'Theoretical and Computational Chemistry not elsewhere classified']","['lammps', 'traj', 'd-SEAMS']",This is the trajectory file meant to work with the rdf2d-example example folder of d-SEAMS. Check Github to navigate the source code in the browser. The filename needs to be preserved to run without any changes.,.lammpstrj,,,,,,,,,
164,Quasi-1D Nanotube LAMMPS Trajectory,"['by Rohit Goswami Amrita Goswami', 'Rohit Goswami', 'Amrita Goswami']","['https://dseams.info/', 'https://docs.dseams.info/', 'https://github.com/d-SEAMS/seams-core', 'https://arxiv.org/abs/1909.09830', 'Molecular Physics', 'Computational Physics', 'Computational Chemistry', 'Theoretical and Computational Chemistry not elsewhere classified']","['lammps', 'd-SEAMS', 'traj']",This is the trajectory file meant to work with the iceNanotube example folder of d-SEAMS. Check Github to navigate the source code in the browser. The filename needs to be preserved to run without any changes.,.lammpstrj,,,,,,,,,
165,.xyz files of optimised helicene dimer structures,"['by Jochen Brandt', 'Jochen Brandt']",['Computational Chemistry'],"['.xyz', 'helicene dimer', 'optimised structure']",.xyz files obtained from optimisation at the at the DFT-D3(BJ)-TPSS-D3/def2-TZVP level.,.xyz,,,,,,,,,
166,SI100.xyz,"['by Reed Yalisove', 'Reed Yalisove']",['Materials Engineering not elsewhere classified'],"['silicon', 'crystal structure']",xyz file of Single Si 100 unit cell,.xyz,,,,,,,,,
167,"Gold wire, initial structure","['by Kasper Primdal Lauritzen', 'Kasper Primdal Lauritzen']",['Computational Chemistry'],"['gold', 'nanowire', 'structure', 'break junction']",XYZ file with a gold nanowire structure.,.xyz,,,,,,,,,
168,Acetonitrile Solvent Box,"['by Casper Steinmann', 'Casper Steinmann']",['Computational Chemistry'],"['acetonitrile', 'structure', 'solvent', 'solvent box']",The acetonitrile solvent boxed used in this study in a .xyz and .pdb file format,.xyz,,,,,,,,,
169,Alane adsorption on Si(100): VASP CONTCAR xyz,"['by Richard Smith', 'Richard Smith']",['Condensed Matter Modelling and Density Functional Theory'],"['alane adsorption', 'Si(100)']","VASP structure file after optimization, in xyz format",.xyz,,,,,,,,,
170,Boron balls,"['by Vitaly V. Chaban', 'Vitaly V. Chaban', 'Vitaly V. Chaban']",['Uncategorized'],['zenodo'],XYZ coordinates for all-boron fullerenes,.xyz,,,,,,,,,
171,Gd@C74,"['by Ayano Nakagawa Shinobu Aoyagi Haruka Omachi Katsuma Ishino Makiko Nishino Jeremy Rio Chris Ewels Hisanori Shinohara', 'Ayano Nakagawa', 'Ayano Nakagawa', 'Shinobu Aoyagi', 'Shinobu Aoyagi', 'Haruka Omachi', 'Haruka Omachi', 'Katsuma Ishino', 'Katsuma Ishino', 'Makiko Nishino', 'Makiko Nishino', 'Jeremy Rio', 'Jeremy Rio', 'Chris Ewels', 'Chris Ewels', 'Hisanori Shinohara', 'Hisanori Shinohara']","['Synthesis of Materials', 'Organic Chemical Synthesis', 'Physical Chemistry not elsewhere classified', 'Nanotechnology not elsewhere classified']","['metallofullerenes', 'gadolinium', 'x-ray crystallography analysis', 'density functional calculations']",xyz structure file of DFT optimised Gd@C74 molecule,.xyz,,,,,,,,,
