accessRights,authors,containerURI,dataTypes,dateAvailable,description,doi,externalSubjectAreas,institutions,keywords,method,publicationDate,source,title,type_cont,version
,"Maldonis, Jason J.|Voyles, Paul M.",https://doi.org/10.18126%2F1cko-gow0,DATASET,,"Molecular dynamics trajectories on cooling of Pd82Si18 computed with the Sheng EAM potential. Motif extraction applied to those trajectories. Atomic models of the resulting motifs.

Funding: NSF DMR-1728933",10.18126/1cko-gow0,glass|metallic glass|Pd|Si|simulation|MD|metals|molecular dynamics|trajectory,,,,2019-01-01,globus.services,Local Structure Controlling the Glass Transition in a Prototype Metal-Metalloid Glass,,
,"Vanegas, Juan M.|Arroyo, Marino",https://doi.org/10.5061/dryad.ph510,DATASET|FILE_SET,2014-12-03,"The bacterial mechanosensitive channel MscL, a small protein mainly activated by membrane tension, is a central model system to study the transduction of mechanical stimuli into chemical signals. Mutagenic studies suggest that MscL gating strongly depends on both intra-protein and interfacial lipid-protein interactions. However, there is a gap between this detailed chemical information and current mechanical models of MscL gating. Here, we investigate the MscL bilayer-protein interface through molecular dynamics simulations, and take a combined continuum-molecular approach to connect chemistry and mechanics. We quantify the effect of membrane tension on the forces acting on the surface of the channel, and identify interactions that may be critical in the force transduction between the membrane and MscL. We find that the local stress distribution on the protein surface is largely asymmetric, particularly under tension, with the cytoplasmic side showing significantly larger and more localized forces, which pull the protein radially outward. The molecular interactions that mediate this behavior arise from hydrogen bonds between the electronegative oxygens in the lipid headgroup and a cluster of positively charged lysine residues on the amphipathic S1 domain and the C-terminal end of the second trans-membrane helix. We take advantage of this strong interaction (estimated to be 10–13 kT per lipid) to actuate the channel (by applying forces on protein-bound lipids) and explore its sensitivity to the pulling magnitude and direction. We conclude by highlighting the simple motif that confers MscL with strong anchoring to the bilayer, and its presence in various integral membrane proteins including the human mechanosensitive channel K2P1 and bovine rhodopsin.",10.5061/dryad.ph510,force transduction|mechanosensitive channel of large conductance|stress tensor|central force decomposition|traction|MscL|lateral pressure profiles|mechanosensation|lipid binding,LaCàN|Universitat Politècnica de Catalunya-BarcelonaTech|Sandia National Laboratories|Center for Biological and Material Sciences,,,2014-12-03,DRYAD,Data from: Force transduction and lipid binding in MscL: a continuum-molecular approach,,
info:eu-repo/semantics/openAccess,Girych Mykhailo|Ollila O. H. Samuli,https://zenodo.org/record/34415,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"MD simulation trajectory and related files for fully hydrated POPC bilayer with 0.35M CaCl2. The LIPID14 force field was used with Gromacs 5.0.3. Ions were described by AMBER99SB-ILDN force field. Conditions: T=298.15, 128 POPC molecules, 6400 tip3p waters (lipid/water 1:50), 35 Ca, 70 Cl. 200ns trajectory&nbsp; (preceded by 5ns NPT equillibration) (2 files of 100ns).


THE TRAJECTORY&nbsp;&quot;035M_CaCl2_POPC_AMB_100_200ns.xtc&quot; IS CORRUPTED. FOR THE UNCORRUPTED FILE PLEASE FOLLOW THE LINK:&nbsp;https://zenodo.org/record/46234


This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi
",10.5281/zenodo.34415,LIPID14|POPC|Gromacs|molecular dynamics,,LIPID14|POPC|Gromacs|molecular dynamics,,2015-11-30,ZENODO,POPC_AMBER_LIPID14_CaCl2_035Mol,article,
info:eu-repo/semantics/openAccess,Ferreira Tiago|Topgaard Daniel|Ollila Samuli,https://zenodo.org/record/28638,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 60 wt% C12E5, T=333K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.28638,,,,,2015-08-20,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Ferreira Tiago|Togaard Daniel|Ollila Samuli,https://zenodo.org/record/20664,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 70 wt% C12E5, T=333K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.20664,,,,,2015-07-17,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Ferreira|Topgaard|Ollila,https://zenodo.org/record/20561,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 70 wt% C12E5, T=320K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.20561,,,,,2015-07-16,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Girych Mykhailo|Ollila O. H. Samuli,https://zenodo.org/record/30891,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"MD simulation trajectory and related files for fully hydrated POPC bilayer with 0.15M NaCl. The LIPID14 force field was used with Gromacs 5.0.3. Ions were described by AMBER99SB-ILDN force field. Conditions: T=298.15, 128 POPC molecules, 5120 tip3p waters, 12 Na, 12 Cl. 200ns trajectory&nbsp; (preceded by 5ns NPT equillibration) (2 files of 100ns).


This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi
",10.5281/zenodo.30891,LIPID14|POPC|Gromacs|molecular dynamics,,LIPID14|POPC|Gromacs|molecular dynamics,,2015-09-11,ZENODO,POPC_AMBER_LIPID14_NaCl_015Mol,article,
info:eu-repo/semantics/openAccess,Girych Mykhailo|Ollila O. H. Samuli,https://zenodo.org/record/30865,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"MD simulation trajectory and related files for fully hydrated POPC bilayer with 1M NaCl. The LIPID14 force field was used with Gromacs 5.0.3. Ions were described by AMBER99SB-ILDN force field. Conditions: T=298.15, 128 POPC molecules, 5120 tip3p waters, 77 Na, 77 Cl. 200ns trajectory&nbsp; (preceded by 5ns NPT equillibration) (2 files of 100ns).


This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi
",10.5281/zenodo.30865,LIPID14|POPC|Gromacs|molecular dynamics,,LIPID14|POPC|Gromacs|molecular dynamics,,2015-09-11,ZENODO,POPC_AMBER_LIPID14_NaCl_1Mol,article,
info:eu-repo/semantics/openAccess,Girych Mykhailo|Ollila O. H. Samuli,https://zenodo.org/record/30898,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"MD simulation trajectory and related files for fully hydrated POPC bilayer with runned with Verlet scheme. The LIPID14 force field was used with Gromacs 5.0.3. Conditions: T=298.15, 128 POPC molecules, 5120 tip3p waters. 200ns trajectory&nbsp; (preceded by 5ns NPT equillibration) (2 files of 100ns).


This data is ran for the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi
",10.5281/zenodo.30898,LIPID14|POPC|Gromacs|molecular dynamics,,LIPID14|POPC|Gromacs|molecular dynamics,,2015-09-11,ZENODO,POPC_AMBER_LIPID14_Verlet,article,
info:eu-repo/semantics/openAccess,Girych Mykhailo|Ollila O. H. Samuli,https://zenodo.org/record/35074,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"MD simulation trajectory and related files for fully hydrated POPC bilayer with 1M CaCl2. The LIPID14 force field was used with Gromacs 5.0.3. Ions were described by AMBER99SB-ILDN force field. Conditions: T=298.15, 128 POPC molecules, 6400 tip3p waters (lipid/water 1:50), 100 Ca, 200 Cl. 200ns trajectory&nbsp; (preceded by 5ns NPT equillibration) (2 files of 100ns).
",10.5281/zenodo.35074,Molecular Dynamics|LIPID14|POPC|Gromacs,,Molecular Dynamics|LIPID14|POPC|Gromacs,,2015-12-09,ZENODO,POPC_AMBER_LIPID14_CaCl2_1Mol,article,
info:eu-repo/semantics/openAccess,Ferreira Tiago|Topgaard Daniel|Ollila Samuli,https://zenodo.org/record/28595,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 60 wt% C12E5, T=298K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.28595,,,,,2015-08-20,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Ferreira Tiago|Topgaard Daniel|Ollila Samuli,https://zenodo.org/record/28637,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 60 wt% C12E5, T=320K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.28637,,,,,2015-08-20,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Ferreira Tiago|Topgaard Daniel|Ollila Samuli,https://zenodo.org/record/20368,OTHER|DATASET,2016-09-12,"Simulation trajectories for the article &quot;Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 1H-13C solid-state NMR and molecular dynamics simulations&quot; Langmuir 2014, 30 (2), pp 461&ndash;469 http://dx.doi.org/10.1021/la404684r


System: 70 wt% C12E5, T=298K


Other files available: http://dx.doi.org/10.6084/m9.figshare.861071
",10.5281/zenodo.20368,,,,,2015-07-15,ZENODO,"Simulation trajectories for the article ""Molecular conformation and bilayer pores in a nonionic surfactant lamellar phase studies with 13C-1H solid-state NMR and molecular dynamics simulations""",article,
info:eu-repo/semantics/openAccess,Alexander Lyubartsev,https://zenodo.org/record/16195,OTHER|SOFTWARE_CODE|DATASET,2016-09-12,"MD simulation trajectory and related files for DMPC bilayer, from paper: C.J.H&ouml;gberg, A.M,Nikitin, A.P.Lyubartsev, J.Comp.Chem., 29, 2359 (2008)


25ns( excluded) + 55 ns trajectory
T=303K, 98 lipids + 2700 H2O
software: MDynaMix v 5.0


Relevant files:


md.input&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; : main MD input file


dmpc_2008.mmol&nbsp; :&nbsp; lipid topology/force field file
H2O.mmol&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; :&nbsp; SPC water


order.in&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; : Input for the analysis utility to extract order parameters


Trajectory files:


dmpc_NewMod.250 - dmpc_NewMod.849


Most of files contain 100 frames taken with 1 ps interval
",10.5281/zenodo.16195,"molecular dynamics trajectory, DMPC lipid bilayer, NMRlipids",,"molecular dynamics trajectory, DMPC lipid bilayer, NMRlipids",,2015-03-20,ZENODO,"MD simulation trajectory and related files for DMPC bilayer, Högberg et al, J.Comp.Chem., 29, 2359 (2008)",article,
info:eu-repo/semantics/openAccess,"Bochicchio, Anna|Krepl, Miroslav|Yang, Fan|Varani, Gabriele|Sponer, Jiri|Carloni, Paolo",https://zenodo.org/record/1307182,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT|FILE_SET,2018-07-11,"Trajectories and input files for the simulations (REST2, REST2-PS and unbiased MD) of the Rbfox*·pre-miR20b* complex.",10.5281/zenodo.1307182,,,,,2018-07-06,ZENODO,Molecular basis for the increased affinity of an RNA recognition motif protein engineered to re-direct its specificity -PART 5,article,
CC BY 4.0,"Jaeger, Christof",https://doi.org/10.6084%2Fm9.figshare.8969903.v2,DATASET,,"Trajectory analysis of molecular-dynamics simulations from th publication ""Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE""",10.6084/m9.figshare.8969903.v2,Computational Chemistry,,,,2019-01-01,figshare.ars,SI: Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE: Molecular Dynamics Analysis,,
CC BY 4.0,"Jaeger, Christof",https://doi.org/10.6084%2Fm9.figshare.8969903,DATASET,,"Trajectory analysis of molecular-dynamics simulations from th publication ""Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE""",10.6084/m9.figshare.8969903,Computational Chemistry,,,,2019-01-01,figshare.ars,SI: Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE: Molecular Dynamics Analysis,,
https://www.elsevier.com/about/policies/open-access-licenses/elsevier-user-license/cpc-license/,R.D. Piacentini|A. Salin,https://data.mendeley.com/datasets/3d2wm5w2sm,DATASET|FILE_SET,1976-01-01,"Title of program: TANGO
 Catalogue Id: ACWU_v1_0
 
 Nature of problem 
 Multistate molecular treatment of atomic collisions in the impact parameter approximation. Calculation of the transition amplitudes for Coulomb classical trajectories.
 
 CORRECTION SUMMARY:
 Vol:Year:Page 17:1979:425
 ""000A CORRECTION 27/03/79"" 
 ""Multistate molecular treatment of atomic collisions in the impact 
 parameter approximation. III - Integration of coupled equations and 
 calculation of transition amplitudes for Coulomb trajectories. (C.P. 
 C. 12(1976)199)."" 
 R.D. Piacentini; A. Salin
 
 Note: correction instructions are contained in source code
 
 Versions of this program held in the CPC repository in Mendeley Data
 ACWU_v1_0; TANGO; 10.1016/0010-4655(76)90068-0
 
 This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2018)",10.17632/3d2wm5w2sm.1,Computational Physics|Physical Chemistry|Molecular Physics,,Computational Physics|Physical Chemistry|Molecular Physics,,1976-01-01,MENDELEY_DATA,Multistate molecular treatment of atomic collisions in the impact parameter approximation. III - integration of coupled equations and calculation of transition amplitudes for Coulomb trajectories ,article,1
http://www.gnu.org/licenses/gpl-3.0.en.html,Benjamin Lindner|jeremy smith,https://data.mendeley.com/datasets/yjn3m97k7w,DATASET|FILE_SET,2012-07-01,"This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2018)

Abstract 
Massively parallel computers now permit the molecular dynamics (MD) simulation of multi-million atom systems on time scales up to the microsecond. However, the subsequent analysis of the resulting simulation trajectories has now become a high performance computing problem in itself. Here, we present software for calculating X-ray and neutron scattering intensities from MD simulation data that scales well on massively parallel supercomputers. The calculation and data staging schemes used maxim...

Title of program: Sassena
Catalogue Id: AELW_v1_0

Nature of problem 
Recent developments in supercomputing allow molecular dynamics simulations to generate large trajectories spanning millions of frames and thousands of atoms. The structural and dynamical analysis of these trajectories requires analysis algorithms which use parallel computation and IO schemes to solve the computational task in a practical amount of time. The particular computational and IO requirements very much depend on the particular analysis algorithm. In scattering calculations a very freque ...

Versions of this program held in the CPC repository in Mendeley Data
AELW_v1_0; Sassena; 10.1016/j.cpc.2012.02.010

",10.17632/yjn3m97k7w.1,Computational Physics|Computer Hardware|Programming Languages|Software|Crystallography,,Computational Physics|Computer Hardware|Programming Languages|Software|Crystallography,,2012-07-01,MENDELEY_DATA,Sassena — X-ray and neutron scattering calculated from molecular dynamics trajectories using massively parallel computers ,article,1
CC0,Scientific Data Curation Team,https://springernature.figshare.com/articles/Metadata_record_for_Molecular_dynamics_trajectories_for_630_coarse-grained_drug-membrane_permeations/11733504/1,DATASET,,"This dataset contains key characteristics about the data described in the Data Descriptor Molecular dynamics trajectories for 630 coarse-grained drug-membrane permeations. 
 Contents: 
 1. human readable metadata summary table in CSV format 2. machine readable metadata file in JSON format",10.6084/m9.figshare.11733504.v1,119999 Medical and Health Sciences not elsewhere classified|Thermodynamics|29999 Physical Sciences not elsewhere classified|69999 Biological Sciences not elsewhere classified|Pharmacology|30699 Physical Chemistry not elsewhere classified,,,,2020-01-01,figshare.ars,Metadata record for: Molecular dynamics trajectories for 630 coarse-grained drug-membrane permeations,,
CC0,Scientific Data Curation Team,https://springernature.figshare.com/articles/Metadata_record_for_Molecular_dynamics_trajectories_for_630_coarse-grained_drug-membrane_permeations/11733504,DATASET,,"This dataset contains key characteristics about the data described in the Data Descriptor Molecular dynamics trajectories for 630 coarse-grained drug-membrane permeations. 
 Contents: 
 1. human readable metadata summary table in CSV format 2. machine readable metadata file in JSON format",10.6084/m9.figshare.11733504,119999 Medical and Health Sciences not elsewhere classified|Thermodynamics|29999 Physical Sciences not elsewhere classified|69999 Biological Sciences not elsewhere classified|Pharmacology|30699 Physical Chemistry not elsewhere classified,,,,2020-01-01,figshare.ars,Metadata record for: Molecular dynamics trajectories for 630 coarse-grained drug-membrane permeations,,
,"Sharawy, Mahmoud",https://doi.org/10.5683%2Fsp2%2Fdyjkgc,DATASET,,This dataset includes trajectory files of the molecular dynamics simulations of a polyethylene glycol molecule (PEG64) in charged droplets.,10.5683/sp2/dyjkgc,,,,,2019-01-01,cisti.osp,Effect of counterions on the charging mechanisms of a macromolecule in aqueous nanodrops,,
,"Sharawy, Mahmoud",https://doi.org/10.5683%2Fsp2%2Fzwbxbv,DATASET,,This dataset includes trajectory files from molecular dynamics simulations corresponding to studies investigated the stability of a dsDNA complex in charged droplets.,10.5683/sp2/zwbxbv,,,,,2019-01-01,cisti.osp,How Do Non-Covalent Complexes Dissociate in Droplets? A Case Study of the Desolvation of dsDNA from a Charged Aqueous Nanodrop.,,
"Creative Commons Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/legalcode,info:eu-repo/semantics/openAccess,","Guo, Zhendong|Ambrosio, Francesco|Chen, Wei|Gono, Patrick|Pasquarello, Alfredo",https://archive.materialscloud.org/2019.0029/v1,DATASET,2019-06-02,"This entry includes the MD trajectories of several semiconductor-water interfaces generated with ab initio molecular dynamics using the rVV10 density functional at the temperature of 350 K. Eight semiconductor surfaces are considered, namely GaAs(110), GaP(110), GaN(10-10), CdS(10-10), ZnO(10-10), SnO2(110), rutile TiO2(110) and anatase TiO2(101). For GaAs, GaP and anatase TiO2, the trajectories for the interfaces with both the molecular and the dissociative adsorption mode of water are provided. In addition, the relaxed atomic structures of the semiconductor surfaces used to calculate the ionization potential (IP) reported in [Chem. Mater. 2018, 30, 94−111] are added.",10.24435/materialscloud:2019.0029/v1,semiconductor-water interface|rVV10 functional|MD trajectory,,,,2019-01-01,ethz.marvel,MD trajectories of semiconductor-water interfaces and relaxed atomic structures of semiconductor surfaces,,
info:eu-repo/semantics/openAccess,Ollila O. H. Samuli|Ferreira Tiago|Topgaard Daniel,https://zenodo.org/record/13279,OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT,2016-09-12,"Equilibrated POPC lipid bilayer simulation ran with Gromacs 4.5, Berger force field delivered by Peter Tieleman (http://wcm.ucalgary.ca/tieleman/downloads), this trajectory contains the last 50 ns of a 270 ns simulation, T=298K, 128 POPC molecules, 7290 water molecules. This data is used in http://dx.doi.org/10.1039/C2CP42738A and in the nmrlipids.blospot.fi project. More details from nmrlipids.blospot.fi and https://github.com/NMRLipids/nmrlipids.blogspot.fi. If data is used, please cite [Ferreira et al. Phys. Chem. Chem. Phys., 2013,15, 1976-1989], the nmrlipids.blogspot.fi project and the original publication related to the force field.
",10.5281/zenodo.13279,molecular dynamics simulation trajectory POPC lipid bilayer,,molecular dynamics simulation trajectory POPC lipid bilayer,,2014-12-17,ZENODO,"MD simulation trajectory and related files for POPC bilayer (Berger model delivered by Tieleman, Gromacs 4.5)",article,
info:eu-repo/semantics/openAccess,"Brandt, Erik|Agosta, Lorenzo|Lyubartsev, Alexander",https://zenodo.org/record/1144128,OTHER|DATASET,2018-01-10,"This repository contains atomistic trajectories from ab-initio molecular dynamics simulations of water and TiO2 nanoparticle described in the paper:

E. G. Brandt, L. Agosta and A.P.Lyubartsev, "" Reactive wetting properties  of TiO2 nanoparticles predicted by ab initio molecular dynamics simulations"", Nanoscale, 8, 13385-13398 (2016) DOI: 10.1039/c6nr02791a

The trajectories are saved in the .xtc format, and initial structures with specification of atom types are given in the .pdb format.

The name of each file contains brief information about the simulated system:

TiO2 : composition of the nanoparticle
n24  : number of TiO2 units in the nanoparticle
anatase/brookite/rutile : type of crystall structure
- a number 0 - 30 : number of water molecules in the simulation
2fs - the time step

For more details, see the referred paper",10.5281/zenodo.1144128,"TiO2 nanoparticles; ab-initio MD, TiO2 surface, water splitting",,"TiO2 nanoparticles; ab-initio MD, TiO2 surface, water splitting",,2018-01-10,ZENODO,Atomistic trajectories from ab-initio molecular dynamics simulations of wetted TiO2 nanoparticle,article,
Attribution 4.0 International,"Deringer, Volker",https://www.repository.cam.ac.uk/1810/296391,OTHER|DATASET,2019-11-04,"This dataset contains additional computational data associated with the publication by Strangmüller, Eickhoff et al. (10.1021/jacs.9b05301). Structural data are provided in XYZ format for (i) the initial, discrete structural model and (ii) the molecular-dynamics trajectory at around 1,023 K.",10.17863/CAM.42985,density functional theory|molecular dynamics,,density functional theory|molecular dynamics,,2019-09-04,APOLLO,"Research data supporting ""Fast Ionic Conductivity in the Most Lithium-Rich Phosphidosilicate Li14SiP6""",article,
http://www.gnu.org/licenses/gpl-3.0.en.html,F. Reinhard|O.F. Lange|J.S. Hub|J. Haas|H. Grubmüller,https://data.mendeley.com/datasets/6zj7wzj9dg,DATASET|FILE_SET,2019-03-14,"This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2018)

Abstract 
Biomolecular processes are governed by free energy changes and thus depend on a fine-tuned interplay between entropy and enthalpy. To calculate accurate values for entropies from simulations is particularly challenging for the solvation shell of proteins, which contributes crucially to the total entropy of solvated proteins, due to the diffusive motion of the solvent molecules. Accordingly, for each frame of a Molecular dynamics (MD) trajectory, our software relabels the solvent molecules, su...

Title of program: g-permute
Catalogue Id: AECJ_v1_0

Nature of problem 
Estimating the entropy of solvent molecules from a molecular dynamics simulation trajectory cannot be performed on ordinary trajectories.

Versions of this program held in the CPC repository in Mendeley Data
AECJ_v1_0; g-permute; 10.1016/j.cpc.2008.10.018

",10.17632/6zj7wzj9dg.1,Biological Sciences|Computational Physics|Computational Method|Molecular Biology,,Biological Sciences|Computational Physics|Computational Method|Molecular Biology,,2019-03-14,MENDELEY_DATA,g_permute: Permutation-reduced phase space density compaction ,article,1
info:eu-repo/semantics/openAccess,Hector Martinez-Seara,https://zenodo.org/record/1230317,OTHER|DATASET,2018-04-26,"Title publication: A Ceramide-Regulated Element in the Late Endosomal Protein LAPTM4B Controls Amino Acid Transporter Interaction

Year publication: 2018

DOI publication: XXXXX

Description: Simulation POPC membrane containing ~8% ceramide (CER160) using charmm36 at 310K.

Contains Part 1 (0-500 ns) of the trajectory in  https://zenodo.org/deposit/1219494 with saving a frequency 10 ps.

MD engine: Gromacs 2016.2-dev-20170105-4feb0be

Force field: charmm36

Temperature: 310 K

Pressure: 1 bar

Simulation time: 1069 ns

Saving frequency: 10 ps

Molecular content:
POPC        512
CER160      50
SOL      28100
NA              75
CL              75",10.5281/zenodo.1230317,"Charmm36, ceramide, CER16, POPC",,"Charmm36, ceramide, CER16, POPC",,2018-04-26,ZENODO,Simulation CER160_50_POPC_512_NaCl_150mM_310K (rep1) - 10ps trajectory (Part1),article,
"info:eu-repo/semantics/openAccess,License: http://creativecommons.org/publicdomain/zero/1.0,","Agarwal, P.K.",https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:121698,DATASET,2019-03-29,"This data set contains molecular dynamics (MD) simulation trajectories of human ribonucleases 1-7 and bovine ribonuclease A, in complex with two model nucleotide substrates ACAC and AUAU. The simulations where performed at two temperatures 300 K and 310 K, and in duplicates (two trajectories). The duration of the trajectories is 500 nanoseconds (ns). Larger files have been split in two parts. ***Forthcoming publication: The paper related to this data set will be published soon.",10.17026/dans-237-qxmh,Human ribonucleases substrates ACAC and AUAU|Life sciences,,,,2019-01-01,delft.easy,Nucleotide Substrate Binding Characterization in Human Pancreatic-type Ribonucleases,,
CC BY 4.0,"Jaeger, Christof",https://doi.org/10.6084%2Fm9.figshare.8969903.v1,DATASET,,"Trajectory analysis of molecular-dynamics simulations from th publication ""Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE""",10.6084/m9.figshare.8969903.v1,Computational Chemistry,,,,2019-01-01,figshare.ars,Untitled ItemSI: Radical Stabilization Energies for Enzyme Engineering – Tackling the Substrate Scope of the Radical Enzyme QueE: Docking,,
,"Sharawy, Mahmoud",https://doi.org/10.5683%2Fsp2%2Fvl2tnx,DATASET,,This dataset includes trajectory files from molecular dynamics simulations corresponding to studies on the 'star' morphologies of charged droplets that comprise a DNA duplex.,10.5683/sp2/vl2tnx,,,,,2019-01-01,cisti.osp,Characterization of 'Star' Droplet Morphologies Induced by Charged Macromolecules,,
info:eu-repo/semantics/openAccess,Michal Cifra|Jiri Prusa,https://zenodo.org/record/2644158,OTHER|DATASET,2020-01-24,"Molecular dynamics simulation trajectories of kinesin motor domain exposed to electric field and the starting structure (system.gro). 

List of the files


	system.gro – the initial structure of the system


 

Trajectories, kinesin recentered

trajectories with no electric field applied


	NOFIELD-traj_1_cent.xtc
	NOFIELD-traj_2_cent.xtc
	NOFIELD-traj_3_cent.xtc


 

trajectories with 100 MV/m electric field in X direction


	X-traj_1_cent.xtc
	X-traj_2_cent.xtc
	X-traj_3_cent.xtc


trajectories with 100 MV/m electric field in -X direction


	Xrev-traj_1_cent.xtc 
	Xrev-traj_2_cent.xtc
	Xrev-traj_3_cent.xtc


trajectories with 100 MV/m electric field in Y direction


	Y-traj_1_cent.xtc
	Y-traj_2_cent.xtc
	Y-traj_3_cent.xtc


trajectories with 100 MV/m electric field in -Y direction


	Yrev-traj_1_cent.xtc
	Yrev-traj_2_cent.xtc
	Yrev-traj_3_cent.xtc
",10.5281/zenodo.2644158,,,,,2019-04-17,ZENODO,A1810 raw data,article,
